text,marked_labels,id_labels
!,{'Нет смысла'},[19]
(,{'Нет смысла'},[19]
-,{'Нет смысла'},[19]
.,{'Нет смысла'},[19]
...,{'Нет смысла'},[19]
:),{'Нет смысла'},[19]
:[NUM],{'Нет смысла'},[19]
[NUM],{'Нет смысла'},[19]
Бывает долгая доставка,{'Долгая доставка'},[0]
Быстрая доставка,{'Спасибо'},[18]
Быстро,{'Спасибо'},[18]
"Быстро, удобно, доступно",{'Спасибо'},[18]
В последнее время долгая доставка,{'Доставка стала долгой'},[1]
В последнее время очень долгая доставка,{'Доставка стала долгой'},[1]
В последнее время очень долго доставляются заказы,{'Доставка стала долгой'},[1]
В последнее время слишком долгая доставка,{'Доставка стала долгой'},[1]
В целом все не плохо,{'Всё нормально'},[20]
В целом неплохо,{'Всё нормально'},[20]
Время доставки не соответствует,{'Время доставки не соответствует заявленому'},[2]
Время доставки не соответствует действительности,{'Время доставки не соответствует заявленому'},[2]
Все гуд,{'Спасибо'},[18]
Все круто,{'Всё нормально'},[20]
Все норм,{'Спасибо'},[18]
Все нормально,{'Всё нормально'},[20]
Все нравится,{'Спасибо'},[18]
Все ок,{'Спасибо'},[18]
Все отлично,{'Спасибо'},[18]
Все очень дорого,{'Высокие цены'},[12]
Все плохо,{'Всё плохо'},[21]
Все супер,{'Спасибо'},[18]
"Все супер, кроме цен","{'Спасибо', 'Высокие цены'}","[18, 12]"
Все устраивает,{'Всё нормально'},[20]
Все хорошо,{'Спасибо'},[18]
Все хорошо!,{'Спасибо'},[18]
Всего хорошего,{'Нет смысла'},[19]
Всё нормально,{'Всё нормально'},[20]
Всё ок,{'Спасибо'},[18]
Всё отлично,{'Спасибо'},[18]
Всё супер,{'Спасибо'},[18]
Всё хорошо,{'Спасибо'},[18]
"Всё, что думаете о нас",{'Нет смысла'},[19]
Вы лучшие,{'Спасибо'},[18]
Высокие цены,{'Высокие цены'},[12]
Говно,{'Нет смысла'},[19]
Готово,{'Нет смысла'},[19]
Да,{'Нет смысла'},[19]
Долгая доставка,{'Долгая доставка'},[0]
Долго,{'Долгая доставка'},[0]
Долго везут,{'Долгая доставка'},[0]
Долго доставка,{'Долгая доставка'},[0]
Долго доставляете,{'Долгая доставка'},[0]
Долго доставляют,{'Долгая доставка'},[0]
Долго доставляют заказ,{'Долгая доставка'},[0]
Долго ждать,{'Долгая доставка'},[0]
Долго курьеры доставляют,{'Долгая доставка'},[0]
Долго очень,{'Долгая доставка'},[0]
Долго стали доставлять,{'Доставка стала долгой'},[1]
Долгое ожидание,{'Долгая доставка'},[0]
Долгооооо,{'Долгая доставка'},[0]
Дорогие цены,{'Высокие цены'},[12]
Дорого,{'Высокие цены'},[12]
Дорого у вас,{'Высокие цены'},[12]
"Дорого, но удобно",{'Высокие цены'},[12]
Дороговато,{'Высокие цены'},[12]
Доставка долгая,{'Долгая доставка'},[0]
Доставка очень долгая,{'Долгая доставка'},[0]
Доставка стала долгой,{'Доставка стала долгой'},[1]
Доставка ужасная,{'Всё плохо'},[21]
Доставка часто задерживается,{'Регулярные опоздания'},[3]
Есть куда расти,{'Нет смысла'},[19]
Завышенные цены,{'Высокие цены'},[12]
Задержка доставки,{'Время доставки не соответствует заявленому'},[2]
Збс,{'Нет смысла'},[19]
Иногда очень долго,"{'Долгая доставка', 'Регулярные опоздания'}","[0, 3]"
Класс,{'Нет смысла'},[19]
Круто,{'Всё нормально'},[20]
Курьеры постоянно задерживаются,{'Регулярные опоздания'},[3]
Курьеры постоянно опаздывают,{'Регулярные опоздания'},[3]
Курьеры часто опаздывают,{'Регулярные опоздания'},[3]
Лавка лучше,"{'Всё плохо', 'Сравнивают с конкурентами'}","[21, 36]"
Люблю вас,{'Спасибо'},[18]
Маленький ассортимент,{'Маленький ассортимент'},[28]
Маленький выбор,{'Маленький ассортимент'},[28]
Мало ассортимента,{'Маленький ассортимент'},[28]
Мало выбора,{'Маленький ассортимент'},[28]
Мало товаров,{'Маленький ассортимент'},[28]
Медленно,{'Долгая доставка'},[0]
Мне нравится,{'Спасибо'},[18]
Можно лучше,{'Не тянет на тенденцию'},[39]
Молодцы,{'Спасибо'},[18]
Н,{'Нет смысла'},[19]
Не думаю о вас,{'Нет смысла'},[19]
Не плохо,{'Всё нормально'},[20]
Не хватает отслеживания курьера на карте,{'Курьер на карте'},[5]
Неплохо,{'Всё нормально'},[20]
Нечего,{'Всё нормально'},[20]
Ничего,{'Нет смысла'},[19]
Ничего не думаю,{'Нет смысла'},[19]
Ничего хорошего,{'Всё плохо'},[21]
Ничего.,{'Всё нормально'},[20]
Норм,{'Всё нормально'},[20]
Нормально,{'Всё нормально'},[20]
Нормик,{'Всё нормально'},[20]
Ну такое,{'Нет смысла'},[19]
О,{'Нет смысла'},[19]
Ок,{'Нет смысла'},[19]
Опоздания,{'Регулярные опоздания'},[3]
Отвратительный сервис,{'Всё плохо'},[21]
Отлично,{'Спасибо'},[18]
Очень долгая доставка,{'Долгая доставка'},[0]
Очень долгая доставка в последнее время,{'Доставка стала долгой'},[1]
Очень долгая доставка стала,{'Долгая доставка'},[0]
Очень долгая доставка!,{'Долгая доставка'},[0]
Очень долгие доставки,{'Долгая доставка'},[0]
Очень долго,{'Долгая доставка'},[0]
Очень долго доставляете,{'Долгая доставка'},[0]
Очень долго доставляют!,{'Долгая доставка'},[0]
Очень долго едет заказ,{'Долгая доставка'},[0]
Очень долго ждать,{'Долгая доставка'},[0]
Очень долго жду заказ,{'Долгая доставка'},[0]
Очень долго собирают заказы,{'Долго на сборке'},[35]
Очень долго!,{'Долгая доставка'},[0]
Очень дорого,{'Высокие цены'},[12]
Очень завышены цены,{'Высокие цены'},[12]
Очень маленький ассортимент,{'Маленький ассортимент'},[28]
Очень хорошо,{'Спасибо'},[18]
Пидоры,{'Нет смысла'},[19]
Пиздец,{'Нет смысла'},[19]
Плохо,{'Всё плохо'},[21]
Плохо думаю,{'Всё плохо'},[21]
Плохое,{'Всё плохо'},[21]
Плохой сервис,{'Всё плохо'},[21]
Пойдет,{'Всё нормально'},[20]
Пойдёт,{'Всё нормально'},[20]
Помойка,{'Нет смысла'},[19]
Постоянно задерживается доставка,{'Регулярные опоздания'},[3]
Постоянно задерживается доставка.,{'Регулярные опоздания'},[3]
Постоянно опаздываете,{'Регулярные опоздания'},[3]
Постоянные опоздания,{'Регулярные опоздания'},[3]
Привет,{'Нет смысла'},[19]
Прикольно,{'Спасибо'},[18]
Проблемы с временем доставки,"{'Время доставки не соответствует заявленому', 'Долгая доставка'}","[2, 0]"
Р,{'Нет смысла'},[19]
Раньше было быстрее),{'Доставка стала долгой'},[1]
Раньше было лучше,{'Всё плохо'},[21]
Раньше было лучше.,{'Всё плохо'},[21]
Ребята молодцы,{'Спасибо'},[18]
Сделайте оплату наличными,{'Платежи'},[48]
Сильно завышены цены,{'Высокие цены'},[12]
Слишком долгая доставка,{'Долгая доставка'},[0]
Слишком долгая стала доставка,{'Доставка стала долгой'},[1]
Слишком долго,{'Долгая доставка'},[0]
Слишком дорого,{'Высокие цены'},[12]
Спасибо,{'Спасибо'},[18]
Средне,{'Всё нормально'},[20]
Стало дорого,{'Высокие цены'},[12]
Стало очень долго,{'Доставка стала долгой'},[1]
Супер,{'Спасибо'},[18]
Супер пупер,{'Спасибо'},[18]
Так себе,{'Нет смысла'},[19]
Удобно,{'Нет смысла'},[19]
Удобно и быстро,{'Спасибо'},[18]
Ужас,{'Нет смысла'},[19]
Ужасная доставка,{'Всё плохо'},[21]
Ужасно,{'Нет смысла'},[19]
Ужасно долгая доставка,{'Долгая доставка'},[0]
Хз,{'Нет смысла'},[19]
Хорошая доставка,{'Спасибо'},[18]
Хорошая служба доставки,{'Спасибо'},[18]
Хороший сервис,{'Спасибо'},[18]
Хорошо,{'Спасибо'},[18]
Хуета,{'Всё плохо'},[21]
Цены высокие,{'Высокие цены'},[12]
Цены завышены,{'Высокие цены'},[12]
Цены очень высокие,{'Высокие цены'},[12]
Цены очень завышены,{'Высокие цены'},[12]
Часто долгая доставка,{'Долгая доставка'},[0]
Часто задерживается доставка,{'Регулярные опоздания'},[3]
Часто задерживаются курьеры,{'Регулярные опоздания'},[3]
Часто опаздываете,{'Регулярные опоздания'},[3]
Я о вас не думаю,{'Нет смысла'},[19]
все круто,{'Спасибо'},[18]
все нравится,{'Спасибо'},[18]
вы лучшие,{'Спасибо'},[18]
говно,{'Нет смысла'},[19]
долгая доставка,{'Долгая доставка'},[0]
долго,{'Долгая доставка'},[0]
дорого,{'Высокие цены'},[12]
класс,{'Нет смысла'},[19]
круто,{'Всё нормально'},[20]
мяу,{'Нет смысла'},[19]
не очень,{'Всё нормально'},[20]
норм,{'Всё нормально'},[20]
ок,{'Нет смысла'},[19]
очень долгая доставка,{'Долгая доставка'},[0]
очень долго,{'Долгая доставка'},[0]
привет,{'Нет смысла'},[19]
супер,{'Спасибо'},[18]
хуйня,{'Нет смысла'},[19]
…,{'Нет смысла'},[19]
❤️,{'Спасибо'},[18]
👍,{'Спасибо'},[18]
👍🏻,{'Спасибо'},[18]
👍🏼,{'Спасибо'},[18]
😊,{'Спасибо'},[18]
😡,{'Нет смысла'},[19]
🤮,{'Нет смысла'},[19]
